287-390-209-2432,false
9780470059029,true
4780470059029,false
978 0 471 48648 0,false
978-0596809485,false
978-0-13-149505-0,false
978-0-262-13472-9,false
7465905,false
00000000,false
7987022-78962-ds-22,false
0471958697,true
0 471 60695 2,false
0-470-84525-2,false
0-321-14653-0,false
877195869x,true
877195x869,false
 ,false
877195869xx,false
877195@869x,false
2873902092432,false
9780596809485,true
9780262134729,true
123456789X,true
12-345-6789 X,false
123-4-5-6789-X,false
978-04700-5-9 029,false
0-4-7-1-9  5--8697,false
97-80-262  1347-29,false
